Name: Danny Morton,"Address 1307 donard park ave louisville ky, 40218 ",linkedin: https://www.linkedin.com/in/dmorton714/,portfolio site: https://dmorton714.github.io/personalSite/,Associates in applied science web development and graphic design ,Bachelors in political science western Kentucky University,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Role,Project / Initiative,Experience Unit (Responsibility / Description),Role Fit Tags,Skill Tags,Impact / Outcome,Impact Tag
Code:You,Training Coordinator / PM,Program Management,"Managed a cohort of up to 54 mentors and over 600 students, coordinating training sessions and tracking progress.","Management, Education","Leadership, Tracking","Maintained a steady, motivated community and contributed to retention.",Leadership
Code:You,Technical Project Lead,Curriculum Development,"Spearheaded curriculum development for C#, JavaScript, AI, AWS, and Python.","Education, Engineering","C#, JS, Python, AI, AWS",Improved student retention and course completion by ~10%.,Education
Code:You,Technical Project Lead,Workflow Automation,"Engineered custom automation workflows via Python and Zapier, integrating third-party APIs.","Full Stack, Automation","Python, Zapier, APIs",Reduced manual data entry workloads by 10+ hours per week.,Automation
Code:You,Full Stack Developer,Web App Delivery,Led full-stack delivery of web applications for up to 20 nonprofit clients simultaneously.,"Full Stack, Project Mgmt","SDLC, Cloud Deployment",Managed complete SDLC from database schema design to cloud deployment.,Delivery
Code:You,Mentor,Student Support,"Hosted office hours, live demos, and talks on JavaScript, Python, C#, and Docker.","Education, Support","Mentorship, Docker, JS",Helped students troubleshoot real-time issues and build projects.,Mentorship
Code:You,Technical Project Lead,Technical SEO,Architected technical SEO migrations for legacy sites.,"Full Stack, SEO",Technical SEO,Achieved a 30% average increase in indexable pages and organic visibility.,Growth
Best One,IT Manager,Business Intelligence,Designed and implemented real-time BI dashboards using SQL and Python to track sales and inventory.,"IT Management, Data","SQL, Python, BI",Averted supply chain issues and contributed to 15%+ business growth and $150k+ quarterly savings.,Growth & Savings
Best One,IT Manager,SaaS Migration,Led end-to-end cloud migration of a self-hosted SaaS (Maddenco).,IT Management,"Cloud Migration, SaaS",Reduced annual costs by $20K and eliminated hardware/licensing overhead.,Cost Savings
Best One,IT Manager,RMM Automation,Automated deployment and update processes using custom scripts in an RMM platform.,"IT Support, Automation","RMM, Scripting",Saved over 20 hours of manual IT labor monthly.,Automation
Best One,IT Manager,Telecom Optimization,Orchestrated cellular migration of 200+ field devices to a new provider via DEP.,IT Management,"MDM, Telecom, DEP",Cut telecom costs by $12K/year and enhanced sales productivity.,Cost Savings
Best One,IT Manager,ISP Negotiations,Negotiated fiber connectivity contracts with ISPs across multiple sites.,IT Management,"Contracts, Networking",Improved network speed/stability and reduced expenses by $5K annually.,Operations
Best One,IT Manager,Cloud SQL Migration,Migrated on-premise SQL server to a cloud-hosted environment.,"IT Management, Data","SQL, Cloud Infrastructure",Modernized infrastructure and eliminated end-of-life systems.,Modernization
Best One,IT Manager,VoIP Transition,Oversaw transition to a hosted VoIP solution.,IT Management,"VoIP, Telecom",Streamlined telecom operations and saved $12K annually.,Cost Savings
Best One,IT Manager,Vendor Negotiation,Negotiated a new credit card processing agreement based on transaction patterns.,IT Management,Vendor Management,Saved the company over $187K annually through a custom fee model.,Cost Savings
Best One,IT Manager,Documentation,Documented and standardized all core IT and operational procedures.,IT Management,Documentation,Established repeatable best practices and improved cross-departmental efficiency.,Operations
Best One,Web Systems Developer,Web Architecture,Rebuilt site architecture and geo-targeted landing pages with schema markup.,"Full Stack, SEO","Local SEO, Schema",Scaled traffic from 20 to 250+ daily users.,Growth
Best One,Web Systems Developer,Data Syncing,Automated multi-location data syncing between legacy POS and web reporting tools.,"Full Stack, Automation","POS Integration, APIs","Saved 2-3 labor hours per employee, per day.",Automation
Best One,Web Systems Developer,Security Hardening,Migrated infrastructure to AWS/Azure and configured Cloudflare WAF/DNS.,"Security, Full Stack","AWS, Azure, WAF, DNS",Mitigated scraping and brute-force attacks.,Security
ADI,Systems Developer,Operational Automation,Automated operational tasks using SQL and custom scripting.,"Engineering, Automation","SQL, Scripting",Reduced a 40-hour per-order manual process to a 1-hour automated task.,Speed-to-Market
ADI,Technical Support,Hardware Scripting,Created custom scripting solutions for hardware programming tasks.,"Tech Support, Scripting","Hardware Config, Scripts",Reduced manual labor by 20+ hours and doubled client onboarding capacity.,Growth
ADI,Systems Developer,Diagnostic Tools,Developed internal diagnostic tools for support teams.,"Engineering, Support",Diagnostic Software,Improved resolution speed for complex client deployments by 25%.,Performance
ADI,Technical Support,Pre-Configuration,"Programmed over 1700 IP cameras, NVRs, and SQL-based systems for plug-and-play deployment.","Tech Support, Hardware","IP Cameras, NVR, SQL",Improved customer experience and reduced post-sale support needs.,Delivery
ADI,Technical Support,Salesforce BI,Contributed to the optimization of Salesforce and internal software.,"IT Support, Data","Salesforce, BI",Enabled cross-departmental BI reporting and real-time operational transparency.,Operations
Tellennium,Project Manager,Telecom Disconnects,"Managed large-scale telecom projects, including multi-site service disconnects and phone system migrations.",Project Management,"Telecom, Migrations",Ensured clean dispositions during facility closures.,Operations
Tellennium,Technical Support,Wireline & Wireless,"Provided Tier 1-2 support for POTS, PRI, MPLS, point-to-point circuits, and mobile devices.",IT Support,"PRI, MPLS, Troubleshooting",Ensured strict SLA compliance and rapid issue resolution.,Performance
Tellennium,Project Manager,Carrier Billing,Verified carrier invoices against contracts and initiated disputes for incorrect billing.,Project Management,"Billing Audits, Contracts",Recovered credits and ensured contracted rates were applied.,Cost Savings
Tellennium,Technical Support,MDM Administration,Administered deployments and configuration changes for 300+ devices using AirWatch MDM.,IT Support,"AirWatch, MDM",Supported application rollouts and device policy updates.,Delivery
Tellennium,Technical Support,PBX Configuration,Performed first-level troubleshooting and configuration within Avaya/Definity PBX systems.,IT Support,"Avaya, PBX, Voicemail","Managed extension provisioning, voicemail setup, and call forwarding.",Operations
Tellennium,Technical Support,Property Ticketing,Supported the development of an internal property ticketing system and TIMS software.,"IT Support, Systems","Ticketing Systems, TIMS",Improved issue tracking and operational visibility.,Operations
Canteen,Maintenance Tech,Hardware Repair,Diagnosed and repaired technologies inside vending machines and POS systems.,Hardware Support,"Pneumatics, HVAC, POS",Maintained equipment across a 150+ mile radius of 300+ accounts.,Operations
JCTC,Network Tech,Infrastructure Install,"Installed CAT5e, CAT6, Fiber Optic, wifi hotspots, and low voltage cabling.","Networking, Hardware","Cabling, Fiber, Wi-Fi",Built IDFs and designed technology-rich classrooms.,Infrastructure
JCTC,Lead Mac Tech,Hardware Fleet,Managed Macintosh repairs and image building across six campuses.,"IT Support, Hardware","MacOS, Imaging",Ensured operational readiness of Apple hardware fleet.,Operations
JCTC,Help Desk,General IT Support,"Troubleshooted PCs, VoIP phones, analog voice lines, and multimedia projectors via ticketing system.",IT Support,"Ticketing, VoIP, AV",Provided responsive issue resolution for faculty and staff.,Support
Mac Authority,Mac Technician,Diagnostics,"Diagnosed and repaired Apple products including iPhones, iPads, and Mac computers.","IT Support, Hardware",Apple Diagnostics,"Maintained fast, accurate, and friendly customer service.",Support
Volunteer,With Love,Co-Founder Logistics,Co-founded an international aid initiative to deliver over 3 tons of supplies to Ukraine.,"Leadership, Logistics",Global Logistics,Leveraged global relationships to ensure goods reached high-need areas.,Social Impact
Volunteer,Louisville Grows,Dashboard Dev,Developed an internal data dashboard to track historical and current tree planting efforts.,Data Analytics,"Dashboards, Reporting",Streamlined reporting for grant funding and directed future planting areas.,Social Impact
Staaty,Lead Full Stack,Headless Platform,Architected and launched a headless full-stack platform from zero to production in 90 days.,Full Stack,"Vue, Node.js, Python, SQL",Enabled product demos for major professional sports organizations.,Speed-to-Market
Staaty,Lead Full Stack,SEO Engineering,Engineered crawlable site architecture and implemented JSON-LD structured data.,"Full Stack, Data","Technical SEO, JSON-LD",Scaled organic traffic 300% (from 50 to 200+ daily sessions) in 8 weeks.,Growth
Staaty,Lead Full Stack,AI Content Pipelines,Engineered AI-driven content pipelines to automate metadata generation and user query handling.,"Full Stack, Data","Python, LLM APIs",Increased average session duration by 15%.,Automation
Staaty,Lead Full Stack,Frontend Performance,Optimized Core Web Vitals and frontend performance.,Full Stack,"LCP, Performance Tuning",Achieved a <2s Largest Contentful Paint (LCP).,Performance
Staaty,Lead Full Stack,Real-Time Data APIs,Designed and deployed REST APIs for real-time data transformation and analytics ingestion.,Full Stack,"REST APIs, Analytics",Supported high-concurrency sports data workflows.,Scalability