Org,Role,Core Domain,Tech Stack / Tools,Business Skills,Key Impact / Expanded Description,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Code:You,Technical Project Lead,Agile Portfolio Management,"Monday.com, Obsidian, Kanban","High-Level Strategy, Workflow Visualization","Directed portfolio-level strategy for 20 concurrent projects using Monday.com and Obsidian, utilizing Kanban boards to map workflows and ensure on-time delivery across the board.",,,,,,,,,,,,,,,,,,,,,
Code:You,Scrum / Project Manager,Agile Team Coordination,"Jira, Trello, GitHub Projects, Slack","Sprint Planning, Cross-functional Communication","Facilitated weekly standups and sprint retrospectives, driving team alignment, unblocking developers, and managing task execution across Jira, Trello, and GitHub Projects.",,,,,,,,,,,,,,,,,,,,,
Code:You,Project Manager,Performance Analytics,Spreadsheets,"Data Analysis, Issue Resolution","Engineered tracking systems to monitor individual contributor performance, identify operational bottlenecks, and track issue resolution metrics.",,,,,,,,,,,,,,,,,,,,,
Code:You,Product Manager,Client Discovery,MVP Frameworks,"Needs Analysis, Pain Point Extraction","Conducted deep-dive discovery sessions with stakeholders to understand business models, identify operational bottlenecks, and align technical capabilities with client needs.",,,,,,,,,,,,,,,,,,,,,
Code:You,Product Manager,Solution Architecture,Prototyping,"Ideation, Product Strategy",Translated client pain points into actionable technical solutions by architecting Minimum Viable Product (MVP) concepts tailored to nonprofit workflows.,,,,,,,,,,,,,,,,,,,,,
Code:You,Project Manager,Stakeholder Alignment,Presentations,"Scope Negotiation, Expectation Setting","Led iterative client presentations to showcase past capabilities, pitch MVP solutions, and strictly lock down project scope prior to development.",,,,,,,,,,,,,,,,,,,,,
Code:You,Frontend Engineer,UI Development,"React, Vue, JavaScript, HTML, CSS",User-Centric Development,"Engineered dynamic, responsive user interfaces across varied projects, leveraging both vanilla technologies and modern component-based frameworks (React, Vue).",,,,,,,,,,,,,,,,,,,,,
Code:You,Backend Engineer,API & Architecture,"Node.js, FastAPI, C#","System Architecture, Scalability","Architected robust server-side logic and RESTful APIs to power web applications, utilizing Node.js and FastAPI to ensure optimal data flow.",,,,,,,,,,,,,,,,,,,,,
Code:You,Database Administrator,Data Management,"MySQL, MongoDB, SQLite, DuckDB","Schema Design, Data Modeling",Designed and managed flexible data storage solutions across both relational (MySQL) and NoSQL (MongoDB) databases to fit distinct client MVP requirements.,,,,,,,,,,,,,,,,,,,,,
Code:You,Data Analyst / Engineer,Analytics & Viz,"Python, Pandas, Tableau, Streamlit, Plotly, Seaborn","Data Storytelling, Automation","Developed data pipelines and interactive dashboards to translate raw data into actionable insights, utilizing Python data science libraries and Tableau.",,,,,,,,,,,,,,,,,,,,,
Code:You,Cloud / DevOps Engineer,Cloud Infrastructure,"AWS, Azure, Render",Deployment Operations,"Managed application hosting and cloud deployments across major providers (AWS, Azure) and modern PaaS solutions (Render) to guarantee high availability.",,,,,,,,,,,,,,,,,,,,,
Code:You,UI/UX Designer,Information Architecture,"Spreadsheets (Layout), Pen & Paper","User Flows, Wireframing","Developed early-stage structural layouts and low-fidelity wireframes, sometimes utilizing unconventional tools like spreadsheets to define content hierarchy and user flows.",,,,,,,,,,,,,,,,,,,,,
Code:You,UI/UX Designer,Visual Design & Mockups,"Adobe Photoshop, Adobe Illustrator","Aesthetic Judgment, Branded Interface","Created polished, high-fidelity mockups and graphic assets for web applications, translating conceptual wireframes into visually compelling user interfaces.",,,,,,,,,,,,,,,,,,,,,
Code:You,Accessibility Specialist,Inclusive Design,"WCAG Guidelines, Accessible Color Palettes","Empathy, Standard Compliance",Prioritized digital accessibility by incorporating web-friendly color palettes and inclusive design decisions to ensure interfaces are usable by the widest possible audience.,,,,,,,,,,,,,,,,,,,,,
Code:You,Program Analyst,Educational Analytics,Salesforce,"KPI Measurement, Retention Tracking","Leveraged Salesforce to monitor student lifecycle metrics, tracking retention, section progression, and course completion rates to measure program health.",,,,,,,,,,,,,,,,,,,,,
Code:You,Instructional Designer,Curriculum Architecture,Technical Stack,"Gap Analysis, Agile Learning",Authored comprehensive technical curricula and rapidly produced targeted supplemental materials to address real-time classroom bottlenecks and knowledge gaps.,,,,,,,,,,,,,,,,,,,,,
Code:You,Technical Educator,Continuous Improvement,Documentation Tools,"Feedback Loops, Content Strategy","Implemented a continuous feedback loop, actively refining and updating future curriculum iterations based on live troubleshooting outcomes and student performance.",,,,,,,,,,,,,,,,,,,,,
Napster,QA Analyst,Manual Testing,Bug Tracking,"Detail Orientation, Empathy","Conducted comprehensive manual site audits for a learning development platform, proactively identifying bugs and friction points within the user journey.",,,,,,,,,,,,,,,,,,,,,
Napster,UX / QA Specialist,UX & Accessibility,WCAG Best Practices,"User Advocacy, Cross-functional Feedback",Provided actionable design and accessibility (a11y) recommendations to improve inclusive design and refine cumbersome user interactions.,,,,,,,,,,,,,,,,,,,,,
Napster,QA Automation Engineer,Automated Testing,"Python, Selenium","Scripting, Process Automation",Architected and developed automated testing scripts using Python and Selenium to streamline regression testing and validate core website functionality.,,,,,,,,,,,,,,,,,,,,,
Napster,Product Optimizer,Continuous Improvement,Auditing Frameworks,"Critical Thinking, Workflow Optimization",Bridged the gap between QA and UX by translating raw bug reports into strategic refinements that smoothed out the overall user flow.,,,,,,,,,,,,,,,,,,,,,
Napster,Automation Engineer,Workflow Integration,"Python, API Webhooks","Process Engineering, Cross-team Ops",Engineered custom Python scripts to automatically intercept Selenium test failures and route them directly into the team's ticketing platform.,,,,,,,,,,,,,,,,,,,,,
Napster,QA / DevOps Engineer,Incident Management,"Log Parsing, Automated Alerting","Issue Triage, Efficiency","Eliminated manual bug reporting by automating the QA alerting pipeline, ensuring development teams receive immediate, formatted tickets for failed test cases.",,,,,,,,,,,,,,,,,,,,,
Napster,QA Automation Engineer,CI/CD Pipelines,GitHub Actions,"DevOps, Automated Execution","Configured GitHub Actions to automatically trigger Selenium test suites, establishing a reliable, hands-off continuous testing pipeline.",,,,,,,,,,,,,,,,,,,,,
Napster,Automation Engineer,Automated Reporting,"Google Sheets (API/Webhooks), Python","Data Logging, Internal Tooling","Engineered a highly accessible, lightweight reporting dashboard by piping automated test results directly into Google Sheets.",,,,,,,,,,,,,,,,,,,,,
Napster,Software Engineer,Lean Architecture,"CI/CD, APIs",Pragmatic Problem Solving,"Designed a low-overhead incident logging system, prioritizing rapid deployment and cross-functional accessibility over unnecessarily complex architecture.",,,,,,,,,,,,,,,,,,,,,
STAATY,Chief Technology Officer,Technical Strategy,Tech Stack Agnosticism,"Pragmatic Engineering, MVP Scoping","Accelerated time-to-market by strategically selecting lightweight, high-speed technologies (DuckDB, Node.js) to successfully deliver the initial platform MVP within 90 days.",,,,,,,,,,,,,,,,,,,,,
STAATY,Lead Backend Engineer,System Migration,"FastAPI, PostgreSQL, Node.js, DuckDB","Scalability, Tech Debt Management",Architected and co-executed a massive backend infrastructure migration from a lightweight Node/DuckDB stack to a highly scalable FastAPI and PostgreSQL architecture.,,,,,,,,,,,,,,,,,,,,,
STAATY,Engineering Manager,Team Scaling,"Code Reviews, Agile PM","Onboarding, Cross-functional Collaboration","Successfully onboarded and directed a secondary engineer late in the MVP cycle, aligning them with the overarching architecture to execute the database migration.",,,,,,,,,,,,,,,,,,,,,
STAATY,Technical Project Lead,Lean Operations,"Jira, Trello, Markdown","Asynchronous Communication, Documentation","Orchestrated rapid development cycles utilizing lean agile methodologies, maintaining strict alignment through Jira, Trello, and centralized Markdown documentation.",,,,,,,,,,,,,,,,,,,,,
STAATY,Chief Technology Officer,Executive Communication,Presentation Decks,"Stakeholder Management, Solution Selling","Led high-stakes product demonstrations for major professional sports organizations, successfully translating complex technical architecture into clear, business-driven value propositions.",,,,,,,,,,,,,,,,,,,,,
STAATY,Sales Engineer / PM,Enterprise B2B Sales,Live Demos,"Pain Point Resolution, Active Listening",Drove enterprise client acquisition by focusing live product demos strictly on workflow optimization and solving critical organizational pain points rather than technical specifications.,,,,,,,,,,,,,,,,,,,,,
STAATY,AI / Machine Learning Engineer,Agentic AI Systems,"Python, LLMs, Prompt Engineering","Data Governance, Risk Mitigation","Architected a highly governed, agentic AI backend to autonomously generate dynamic player bios and statistical performance breakdowns from raw data.",,,,,,,,,,,,,,,,,,,,,
STAATY,Frontend Data Engineer,Data Visualization,"Vue.js, ChartJS, Custom Plotting Libraries",Information Architecture,Engineered custom data visualization packages and integrated ChartJS within a Vue frontend to translate complex sports statistics into easily digestible tables and plots.,,,,,,,,,,,,,,,,,,,,,
STAATY,UX / UI Engineer,Product Interaction,"Gamification, UX/UI Principles","User Engagement, Retention","Designed a highly interactive, gamified user interface that transformed complex sports analytics dashboards into an intuitive, fun, and highly engaging user journey.",,,,,,,,,,,,,,,,,,,,,
STAATY,Full Stack Engineer,Real-Time Communications,"WebSockets, Live Streaming Integration","Community Building, Concurrency","Integrated live game streaming capabilities and real-time community chat features directly into the platform, driving concurrent user engagement during sporting events.",,,,,,,,,,,,,,,,,,,,,
STAATY,Product Manager,Feature Delivery,Agile Development,"Empathy, User-Centric Design",Bridged the gap between raw statistical data and end-user enjoyment by prioritizing digestible visualizations and community-focused features that directly solved user pain points.,,,,,,,,,,,,,,,,,,,,,
BestOne,IT Director / Manager,Vendor & Contract Management,Financial Modeling,"Negotiation, Strategic Procurement","Renegotiated enterprise credit card processing, ISP fiber contracts, and telecom agreements, securing a custom fee model that drove over $200K in total annual cost savings.",,,,,,,,,,,,,,,,,,,,,
BestOne,Data Engineer,Business Intelligence,"SQL, Python, BI Platforms","Financial Analytics, Supply Chain Ops","Designed and deployed real-time business intelligence dashboards using Python and SQL to monitor inventory and sales, averting supply chain bottlenecks and supporting 15%+ business growth.",,,,,,,,,,,,,,,,,,,,,
BestOne,Cloud Architect,Infrastructure Migration,"Cloud Computing, SQL Server, SaaS","Tech Debt Resolution, Cost Optimization","Directed the end-to-end cloud migration of legacy on-premise SQL servers and a self-hosted SaaS platform (Maddenco), eliminating hardware overhead and end-of-life systems.",,,,,,,,,,,,,,,,,,,,,
BestOne,Systems Administrator,Device & Telecom Ops,"MDM, Apple DEP, VoIP","Logistics, Cross-functional Support","Orchestrated a massive cellular migration for 200+ field devices utilizing Apple DEP and transitioned the organization to a hosted VoIP solution, drastically improving sales productivity.",,,,,,,,,,,,,,,,,,,,,
BestOne,IT Operations Manager,Process Automation,"RMM Platform, Scripting","Documentation, Standardization","Standardized core IT procedures through rigorous documentation and automated routine deployment workflows via RMM scripting, saving 20+ manual labor hours per month.",,,,,,,,,,,,,,,,,,,,,
BestOne,Integration Engineer,Legacy System Automation,"REST APIs, POS Systems",Workflow Automation,"Architected automated, multi-location data syncing pipelines bridging a legacy Point of Sale (POS) system with modern web reporting tools, saving employees 2-3 hours of manual entry daily.",,,,,,,,,,,,,,,,,,,,,
BestOne,DevSecOps Engineer,Security & Edge Computing,"AWS, Azure, Cloudflare WAF, DNS","Threat Mitigation, Infrastructure",Hardened organizational web security by migrating infrastructure to AWS/Azure and configuring Cloudflare WAF to successfully mitigate aggressive data scraping and brute-force attacks.,,,,,,,,,,,,,,,,,,,,,
BestOne,SEO / Web Architect,Growth Engineering,"Schema Markup, JSON-LD, Local SEO",Traffic Scaling,"Reengineered site architecture and deployed highly targeted, geo-specific landing pages enhanced with schema markup, scaling daily organic traffic from 20 to 250+ users.",,,,,,,,,,,,,,,,,,,,,
BestOne,Full Stack Engineer,Dashboard Migration,"Vue.js, Chart.js, Streamlit","Rapid Prototyping, Scalability","Designed and executed a strategic migration path for a business intelligence platform, advancing from an initial Streamlit prototype to a highly customized, production-ready Vue.js and Chart.js dashboard ecosystem.",,,,,,,,,,,,,,,,,,,,,
BestOne,Data Engineer,Automated Reporting Systems,"Python, SMTP / Email APIs, Automation",Cross-team Communication,"Engineered an automated data delivery pipeline that compiles analytics, extracts targeted user lists, and dynamically emails custom plots to executive management and field staff based on custom triggers.",,,,,,,,,,,,,,,,,,,,,
BestOne,Business Intelligence Developer,Information Delivery,Python Data Science Stack,"Data Distribution, Stakeholder Alignment",Bridged the gap between raw backend databases and non-technical stakeholders by delivering scheduled visual and text-based operational data straight to decision-makers' inboxes.,,,,,,,,,,,,,,,,,,,,,